,Genetic Feature,feature_pval,ic50_effect_size,feature_delta_mean_ic50,msi_pval,fdr,log_ic50_mean_pos
393,cnaPANCAN126,0.2545958824641257,0.24476693253512308,0.43622843637690334,0.00330990584295525,39.50625762374364,4.846537916309977
394,cnaPANCAN127,0.11265847179379844,0.2858317887957024,0.5083114698366868,0.0032896280846703,26.516808356722695,4.890416131812943
395,cnaPANCAN128,0.2120078097559148,0.3118591629998973,0.5549708262985247,0.00330557509935772,35.5600126967984,4.9495518938724175
396,cnaPANCAN129,0.4583778464376752,0.21413275641089977,0.3812855678800169,0.00332240325634759,52.48601295087886,4.772867594704843
397,cnaPANCAN130,0.5570947059425164,0.12930355444033229,0.23052519057406595,0.00332583629463927,55.361497857383675,4.639952728735269
398,cnaPANCAN131,0.4784252202173418,0.1604535656437978,-0.2861088104636158,0.00332319645986531,52.96319589929068,4.141135154762961
399,cnaPANCAN132,0.9980621399844452,0.11368675768052794,0.20275740387072272,0.003331613540213,66.53747599896305,4.62268724823743
400,cnaPANCAN133,0.32614307137160226,0.35338072532247977,-0.6298350417374787,0.00331547705554768,44.74523845037228,3.7989551598210194
401,cnaPANCAN134,0.6552080780744534,0.16895908736935528,0.3012499891841252,0.00332827123903595,55.88570044518476,4.715680672389932
402,cnaPANCAN135,0.8598919135548696,0.05117486879904082,0.09126927504093184,0.00333109120025792,63.0279374479615,4.509191406976934
403,cnaPANCAN136,0.17623041456530025,0.12333244309449357,-0.2199362657869681,0.00330105398098758,33.249476760859,4.206460646779213
404,cnaPANCAN137,0.4304125641267352,0.06975950461931266,0.12439810723227929,0.00332120112140766,51.64950769520824,4.535824955494961
405,cnaPANCAN138,0.17396927682118235,0.2715735675458853,-0.48397198748098047,0.00330073318387116,33.249476760859,3.9486723055443247
406,cnaPANCAN139,0.5075864524074433,0.10783897108584656,-0.1923155249244264,0.00332425779730142,53.7444479019646,4.233281023825136
407,cnaPANCAN140,0.9308002423063427,0.18397886407381808,0.3280539089193164,0.0033314871861306,64.64959354041275,4.744565360122476
408,cnaPANCAN141,0.2012557237486992,0.4228724936782901,0.7522602959094636,0.00330431592707877,34.56682278126513,5.151264244576264
409,cnaPANCAN142,0.6011104358545677,0.14166114340502192,0.25263898168479315,0.003327032713999,55.369826062710125,4.671893497964249
410,cnaPANCAN143,0.43446004454391446,0.4765808389070897,0.8487322383053523,0.00332138242906093,51.73644978481556,5.258909274519724
411,cnaPANCAN144,0.10354885245323944,0.00372575339923743,-0.00664512771882552,0.00328741293438669,25.18755870484203,4.4188218469623965
412,cnaPANCAN145,0.7868353919178063,0.07256306244133102,0.1293955867954768,0.0033303875099844,60.60572111902008,4.540413314969566
413,cnaPANCAN146,0.553138411878114,0.01659047493226767,0.02958999994372124,0.00332571965825785,55.361497857383675,4.449176962688336
414,cnaPANCAN147,0.6261017757707126,0.29073397553009206,-0.5180990220528483,0.00332763478151061,55.78480320265755,3.914249516274504
415,cnaPANCAN148,0.5166411674555191,0.3124525790066082,-0.5567553948413724,0.00332456658789569,54.097366374743736,3.875817363238238
416,cnaPANCAN149,0.9361838957643464,0.20652676500926703,-0.3682107616492347,0.00333150613674218,64.64959354041275,4.060268153122292
417,cnaPANCAN150,0.9371969435265097,0.11801260374892052,-0.2104596997782613,0.00333150952971504,64.64959354041275,4.214640522233439
418,cnaPANCAN151,0.9399185961451961,0.0662564030111331,-0.1181681215157644,0.00333151837426434,64.67329789989884,4.305646785460528
419,cnaPANCAN152,0.5708846239640658,0.00945233177891376,0.01685887543529318,0.0033262307623911,55.361497857383675,4.438190084800965
420,cnaPANCAN153,0.4337371938111567,0.2172709259989405,0.38737754825144055,0.00332135023690624,51.73644978481556,4.802966870345811
421,cnaPANCAN154,0.5944753930078908,0.14682494284573178,0.26183201354336205,0.00332686378957315,55.369826062710125,4.679644149144637
422,cnaPANCAN155,0.5944753930078908,0.14682494284573178,0.26183201354336205,0.00332686378957315,55.369826062710125,4.679644149144637
423,cnaPANCAN156,0.6948168920462547,0.17490841892390815,0.311878544809737,0.00332903330689072,57.88834501044378,4.7279950461393465
424,cnaPANCAN157,0.5944753930078908,0.14682494284573178,0.26183201354336205,0.00332686378957315,55.369826062710125,4.679644149144637
425,cnaPANCAN158,0.5944753930078908,0.14682494284573178,0.26183201354336205,0.00332686378957315,55.369826062710125,4.679644149144637
426,cnaPANCAN159,0.6167718299081149,0.15720925768866834,0.28033699124546096,0.0033274162140685,55.461333039032645,4.697299651540706
427,cnaPANCAN160,0.6167718299081149,0.15720925768866834,0.28033699124546096,0.0033274162140685,55.461333039032645,4.697299651540706
428,cnaPANCAN161,0.3973776792535645,0.1751562022062007,0.31231533955056173,0.00331962009483681,49.53461375736954,4.7281005032116274
429,cnaPANCAN162,0.5909566259452781,0.06901264193028601,-0.1230816990373329,0.00332677260930082,55.369826062710125,4.301590134974826
430,cnaPANCAN163,0.15145192583382805,0.3790718031111921,0.6742209004024478,0.00329725337149482,30.79466315567244,5.068583329344565
431,cnaPANCAN164,0.0635342523870713,0.38574079630438834,0.6828328511749397,0.00327428478511992,20.568642859123816,5.025900118081075
432,cnaPANCAN165,0.02805150039253844,0.4604293708228061,0.8185927701679939,0.00325149158070365,13.400515769144883,5.2147550250278885
433,cnaPANCAN166,0.03520378867093403,0.417094976937078,0.7406929966265342,0.00325790359290705,14.748053619304695,5.12315829840569
434,cnaPANCAN167,0.09121983337861486,0.23203920964937327,0.4135984714810074,0.00328405162034124,23.94650733620705,4.825351418839324
435,cnaPANCAN168,0.4785466501003969,0.08319173974092664,0.14836373016515125,0.00332320110083157,52.96319589929068,4.565669610579881
436,cnaPANCAN169,0.9362405395263879,0.00391102149307155,0.00697557582886521,0.00333150632790271,64.64959354041275,4.428369453310702
437,cnaPANCAN170,0.6993158213654984,0.1953812114546352,0.34838065475335606,0.0033291126708979,58.05226693317466,4.764937162399254
438,cnaPANCAN171,0.6049593851516232,0.04957225586606907,0.08841443188164355,0.00332712892778066,55.369826062710125,4.50910895491379
439,cnaPANCAN172,0.8542069619485722,0.01551408254806972,-0.02767041222078869,0.00333104745668839,63.015267684730745,4.394169714559112
440,cnaPANCAN173,0.34619808634468247,0.2987965208406488,0.5326317529839946,0.00331676023869841,45.820334957384475,4.947619087708378
441,cnaPANCAN174,0.34619808634468247,0.2987965208406488,0.5326317529839946,0.00331676023869841,45.820334957384475,4.947619087708378
442,cnaPANCAN175,0.00450980915415163,0.4579221724679847,0.8130271276142436,0.00319854483951025,4.7195677194610175,5.1975671954171565
443,cnaPANCAN176,0.00074195061269854,0.595418942207553,1.0375407763161322,0.00314511874695992,1.4875685185096157,5.293575055582613
444,cnaPANCAN177,0.01565017864790845,0.5674510805674963,0.9934585041017937,0.0032348056878938,10.511314017251946,5.280205960068119
445,cnaPANCAN178,0.12881385732694398,0.5645787462243135,1.0043532538582225,0.00329311174638475,28.06550053558992,5.409311499436571
446,cnaPANCAN179,0.20314630812848244,0.4782864843077864,0.8502212432202274,0.00330454297662385,34.75887401437913,5.2462812877709535
447,cnaPANCAN180,0.28130313113563216,0.4401889775718037,0.7829688269217686,0.0033121938658369,41.915348932300766,5.181861295202627
448,cnaPANCAN181,0.5455605856346518,0.309029934488112,0.5495739177199344,0.00332549182980775,55.361497857383675,4.935305733500746
449,cnaPANCAN182,0.18052049243463525,0.5027219752827073,0.8953626860119659,0.00330164984815715,33.249476760859,5.306767213989901
450,cnaPANCAN183,0.05944935425939008,0.6379756326494621,1.1348022730491838,0.00327246547333475,19.52716015819383,5.54112551604939
451,cnaPANCAN184,0.7049849866711163,0.1812968190917748,0.3228619087003173,0.0033292106577659,58.10315824212498,4.711015450850376
452,cnaPANCAN185,0.29183011395187136,0.1939203342162436,0.3457511066448715,0.00331302220208788,42.26868009896811,4.760912597966353
453,cnaPANCAN186,0.7866571395364524,0.20106796760800733,0.35857375530775304,0.00333038540797956,60.60572111902008,4.777955015942978
454,cnaPANCAN187,0.9651598917105488,0.15138878533670982,-0.26998373032512374,0.0033315816450976,65.31157161951084,4.154144987413492
455,cnaPANCAN188,0.7186236057688256,0.09157507624044724,0.16332484281813286,0.00332943729674505,58.68976816623803,4.58358158924538
456,cnaPANCAN189,0.7953801604024556,0.01126500808274368,-0.0200919030847313,0.00333048601596303,60.60572111902008,4.401810320426176
457,cnaPANCAN190,0.09783622787046012,0.6203827933611564,1.1032448885600878,0.00328591266952435,24.368088324027145,5.507706739043441
458,cnaPANCAN191,0.08319985534687825,0.6684626108862951,1.18845121138503,0.00328159008044653,23.18227674418692,5.592820166913992
459,cnaPANCAN192,0.1809093711761788,0.5800786949038852,1.031951568390105,0.00330170305491655,33.249476760859,5.437521605197345
460,cnaPANCAN193,0.6272691204565493,0.05526346602285876,0.09855728519429709,0.0033276616196536,55.78480320265755,4.513937973948687
461,cnaPANCAN194,0.3929631914267688,0.00867830671455082,-0.01547832855616704,0.00331939427071291,49.41531055229298,4.407030630453142
462,cnaPANCAN195,0.2662469831624199,0.04247095792929191,-0.07574621284847805,0.003310938969568,40.89117488842627,4.350181663577952
463,cnaPANCAN196,0.4821621635093672,0.04126788340537244,-0.07360075006975018,0.00332333840795028,52.96319589929068,4.352204846094679
464,cnaPANCAN197,0.4081054577923231,0.04602333748060469,-0.08208104516234194,0.00332015408690578,50.49197589019492,4.344292941960901
465,cnaPANCAN198,0.39015219102250553,0.04452676200867114,-0.07941224880552333,0.00331924857055225,49.31699043823807,4.346806865161262
466,cnaPANCAN199,0.7107570051764946,0.07097808017201492,0.12657802894745274,0.0033293081307123,58.15284587807684,4.541367978729391
467,cnaPANCAN200,0.7473133597946969,0.12660985105233036,0.22574025299112851,0.00332987330773137,59.206164068241854,4.637292095650423
468,cnaPANCAN201,0.7416509574876432,0.00671295400274843,-0.01197300822904434,0.00332979153548697,59.017779098378966,4.4100843879793326
469,cnaPANCAN202,0.18102492903134337,0.1834260822359507,0.32693944098757566,0.00330171884028211,33.249476760859,4.735337079170294
470,cnaPANCAN203,0.700497354326974,0.07278038837828894,0.12979257750091033,0.00332913327792659,58.05226693317466,4.5449473084074326
471,cnaPANCAN204,0.6896986540954995,0.12793314761580224,0.22809097451290936,0.00332894127499088,57.795976600181525,4.638592615178953
472,cnaPANCAN205,0.9692083188757066,0.2171232713686644,0.3862906203394632,0.00333158865198307,65.4870485726829,4.761466420428024
473,cnaPANCAN206,0.4567055446034124,0.09737423999909696,0.17363547926026968,0.00332233459330837,52.42793241620807,4.586789356482659
474,cnaPANCAN207,0.9274695289192008,0.09360999703362416,0.1669252689960539,0.00333147468606612,64.64959354041275,4.580232985196083
475,cnaPANCAN208,0.15047638268935715,0.23661465127364165,0.4211623073975357,0.00329708958710542,30.779260095550327,4.809603782716319
476,cnaPANCAN209,0.4453981125921449,0.14335159019983576,0.2555629984431613,0.00332185978386389,51.92465043172675,4.6655211198041355
477,cnaPANCAN210,0.01701248131318131,0.2711219341874224,0.4796650249789032,0.00323720820215648,10.625239480156926,4.742215855084177
