,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
126,Nutlin-3a (-),IST-SL2,SCLC,lung,4.60262705481429,0.9703558798059869,0.10431316964166908
127,Nutlin-3a (-),J82,BLCA,urogenital_system,6.110236874168971,0.9830568649657501,0.9479647152617507
128,Nutlin-3a (-),KNS-62,LUSC,lung,4.653444389759525,0.9684720802976605,0.13275031738404106
129,Nutlin-3a (-),KOSC-2,HNSC,aero_digestive_tract,4.032969884227361,0.9669031805336904,-0.21446437231208337
130,Nutlin-3a (-),KP-4,PAAD,pancreas,4.5508951095162224,0.9820466295200755,0.07536421013745843
131,Nutlin-3a (-),KYSE-140,ESCA,aero_digestive_tract,5.8215942007885655,0.9881679537305776,0.7864415980711731
132,Nutlin-3a (-),KYSE-410,ESCA,aero_digestive_tract,6.77439720846858,0.9747483884815693,1.3196257945264471
133,Nutlin-3a (-),KYSE-520,ESCA,aero_digestive_tract,7.3112036177678705,0.9794125242844495,1.6200202010168236
134,Nutlin-3a (-),KYSE-70,ESCA,aero_digestive_tract,6.909440696429823,0.9871086415656244,1.395195511492868
135,Nutlin-3a (-),LB1047-RCC,KIRC,kidney,5.5753582955645085,0.9718669180002506,0.6486491139930607
136,Nutlin-3a (-),LB2241-RCC,KIRC,kidney,4.438854967721684,0.9524146000815034,0.01266706026288745
137,Nutlin-3a (-),LB2518-MEL,SKCM,skin,2.767004784067349,0.9015679736915568,-0.922892640514952
138,Nutlin-3a (-),LB373-MEL-D,SKCM,skin,3.1505415111735178,0.9285734675708608,-0.708267245753535
139,Nutlin-3a (-),LB647-SCLC,SCLC,lung,4.963220939930753,0.9848784135174744,0.3060998551713981
140,Nutlin-3a (-),LB771-HNC,HNSC,aero_digestive_tract,5.677076752986643,0.9762120097621856,0.7055702965965321
141,Nutlin-3a (-),LB831-BLC,BLCA,urogenital_system,4.950312291499432,0.9739282931456845,0.29887623466883806
142,Nutlin-3a (-),LB996-RCC,KIRC,kidney,1.6551151712136272,0.7987590936586675,-1.5451009721404914
143,Nutlin-3a (-),LCLC-103H,UNCLASSIFIED,lung,5.079804870400512,0.9674740447305139,0.37133968836469455
144,Nutlin-3a (-),LU-134-A,SCLC,lung,5.141028763184911,0.9844986910059614,0.40560029818119586
145,Nutlin-3a (-),LU-165,SCLC,lung,7.5441300265376015,0.9828836460280365,1.7503647518757677
146,Nutlin-3a (-),LXF-289,LUAD,lung,5.436797517028479,0.9869360264732162,0.571111137340534
147,Nutlin-3a (-),MS-1,SCLC,lung,3.803126482991248,0.9716907211908937,-0.343083686284464
148,Nutlin-3a (-),MZ1-PC,PAAD,pancreas,7.100473419212047,0.9773545492865708,1.502096547669603
149,Nutlin-3a (-),MZ7-mel,SKCM,skin,2.5615182149818723,0.8901190936040162,-1.0378819828418246
150,Nutlin-3a (-),NCI-H1563,LUAD,lung,3.9410978958113314,0.9496521414738046,-0.2658755159855508
151,Nutlin-3a (-),NCI-H292,UNCLASSIFIED,lung,2.017982262248848,0.8381612268368835,-1.3420422109966
152,Nutlin-3a (-),NCI-H510A,SCLC,lung,4.682189937174468,0.9875633479931376,0.14883619397822037
153,Nutlin-3a (-),NCI-H835,UNCLASSIFIED,lung,3.6433247232501538,0.9576774717965663,-0.4325080186731255
154,Nutlin-3a (-),PC-14,LUAD,lung,5.513497869006308,0.9798269326900942,0.6140323027939386
155,Nutlin-3a (-),SBC-3,SCLC,lung,1.7785428799083842,0.833757256262852,-1.4760313920171348
156,Nutlin-3a (-),SK-MM-2,MM,blood,5.910526408379746,0.987465814132046,0.836207653867905
157,Nutlin-3a (-),TE-15,ESCA,aero_digestive_tract,5.182857320780755,0.9741089976231448,0.429007367313909
158,Nutlin-3a (-),U-266,MM,blood,5.776571082446404,0.9835958904473628,0.7612468673853121
159,Nutlin-3a (-),BE2-M17,NB,nervous_system,5.481908194891137,0.9840439866072819,0.5963548659327842
160,Nutlin-3a (-),KELLY,NB,nervous_system,4.07617952503601,0.9828938120212455,-0.19028445534291047
161,Nutlin-3a (-),SIMA,NB,nervous_system,1.7458371261349823,0.8354607944761558,-1.4943333819401052
162,Nutlin-3a (-),TE-1,ESCA,aero_digestive_tract,6.312806176048769,0.9823642501618045,1.0613215682299963
163,Nutlin-3a (-),TE-10,ESCA,aero_digestive_tract,4.2143880442198185,0.9688485999157209,-0.11294360140950244
164,Nutlin-3a (-),TE-8,ESCA,aero_digestive_tract,6.165589082446764,0.9810302740762051,0.9789395573379538
165,Nutlin-3a (-),CAPAN-1,PAAD,pancreas,5.392300347420892,0.9734652786896304,0.5462107251561475
166,Nutlin-3a (-),OVCAR-3,OV,urogenital_system,5.1531777789865965,0.9815366091862746,0.41239883174556496
167,Nutlin-3a (-),PC-3,PRAD,urogenital_system,6.740867187949501,0.9814145044704382,1.3008625487101644
168,Nutlin-3a (-),DU-145,PRAD,urogenital_system,6.480325326813684,0.9875331603321534,1.1550645172672205
169,Nutlin-3a (-),HCT-116,COREAD,digestive_system,1.9017560746252664,0.854541723720529,-1.4070818529326916
170,Nutlin-3a (-),HCT-15,COREAD,digestive_system,4.997850185525666,0.9787181779018398,0.32547822230243045
171,Nutlin-3a (-),HL-60,LAML,blood,3.6832466430778537,0.9682339831176099,-0.4101678952974522
172,Nutlin-3a (-),HT-29,COREAD,digestive_system,6.12927876642796,0.9835943696424305,0.9586204709019625
173,Nutlin-3a (-),K-562,LCML,blood,4.250107016832139,0.9719229785729288,-0.09295542803368537
174,Nutlin-3a (-),NCI-H226,LUSC,lung,4.437998869584732,0.9006217450423577,0.01218799166889831
175,Nutlin-3a (-),NCI-H23,LUAD,lung,4.730109214988562,0.9821911424474834,0.1756516022316389
176,Nutlin-3a (-),NCI-H460,UNCLASSIFIED,lung,0.8006793373592354,0.7378764090455239,-2.0232393489341587
177,Nutlin-3a (-),NCI-H522,LUAD,lung,5.039608630963904,0.980035299034656,0.34884605699306753
178,Nutlin-3a (-),T47D,BRCA,breast,4.334915976665686,0.9620757763180003,-0.04549672278551374
179,Nutlin-3a (-),MCF7,BRCA,breast,2.738314670588701,0.8729187983926121,-0.9389474965324307
180,Nutlin-3a (-),786-0,KIRC,kidney,4.949530980273416,0.9735603540510437,0.29843901648746507
181,Nutlin-3a (-),A498,KIRC,kidney,3.9533674384614215,0.93054009700714,-0.25900953614918254
182,Nutlin-3a (-),A549,LUAD,lung,1.9278042422987136,0.8272014636414364,-1.3925054176799143
183,Nutlin-3a (-),ACHN,KIRC,kidney,1.6980020779480949,0.7935683514142327,-1.5211016556801586
184,Nutlin-3a (-),BT-549,BRCA,breast,6.160684159721731,0.9770733806040008,0.9761947850600096
185,Nutlin-3a (-),CCRF-CEM,ALL,blood,3.274560568789451,0.9784236580483029,-0.6388667494840072
186,Nutlin-3a (-),SK-MEL-28,SKCM,skin,5.702491872628856,0.9787403051128845,0.7197924810722539
187,Nutlin-3a (-),SK-MEL-2,SKCM,skin,4.4309811813692175,0.9777798408818381,0.00826092550516598
188,Nutlin-3a (-),SK-MEL-5,SKCM,skin,5.261659368662936,0.9751943045493235,0.47310463216343446
189,Nutlin-3a (-),Hs-578-T,BRCA,breast,4.737414839857526,0.9636842507855508,0.1797397964270444
190,Nutlin-3a (-),MOLT-4,ALL,blood,0.00986221049311605,0.6725456801644603,-2.465776988858136
